"Date","Time","Variable","Value"
2018-07-18,"00:00:00","Temperature_C",23.32
2018-07-18,"00:05:00","Temperature_C",23.31
2018-07-18,"00:10:00","Temperature_C",23.31
2018-07-18,"00:15:00","Temperature_C",23.32
2018-07-18,"00:20:00","Temperature_C",23.34
2018-07-18,"00:25:00","Temperature_C",23.36
2018-07-18,"00:30:00","Temperature_C",23.35
2018-07-18,"00:35:00","Temperature_C",23.46
2018-07-18,"00:40:00","Temperature_C",23.56
2018-07-18,"00:45:00","Temperature_C",23.5
2018-07-18,"00:50:00","Temperature_C",23.41
2018-07-18,"00:55:00","Temperature_C",23.34
2018-07-18,"01:00:00","Temperature_C",23.33
2018-07-18,"01:05:00","Temperature_C",23.34
2018-07-18,"01:10:00","Temperature_C",23.33
2018-07-18,"01:15:00","Temperature_C",23.35
2018-07-18,"01:20:00","Temperature_C",23.33
2018-07-18,"01:25:00","Temperature_C",23.33
2018-07-18,"01:30:00","Temperature_C",23.32
2018-07-18,"01:35:00","Temperature_C",23.34
2018-07-18,"01:40:00","Temperature_C",23.32
2018-07-18,"01:45:00","Temperature_C",23.45
2018-07-18,"01:50:00","Temperature_C",23.54
2018-07-18,"01:55:00","Temperature_C",23.49
2018-07-18,"02:00:00","Temperature_C",23.49
2018-07-18,"02:05:00","Temperature_C",23.47
2018-07-18,"02:10:00","Temperature_C",23.47
2018-07-18,"02:15:00","Temperature_C",23.44
2018-07-18,"02:20:00","Temperature_C",23.42
2018-07-18,"02:25:00","Temperature_C",23.41
2018-07-18,"02:30:00","Temperature_C",23.37
2018-07-18,"02:35:00","Temperature_C",23.37
2018-07-18,"02:40:00","Temperature_C",23.32
2018-07-18,"02:45:00","Temperature_C",23.3
2018-07-18,"02:50:00","Temperature_C",23.37
2018-07-18,"02:55:00","Temperature_C",23.51
2018-07-18,"03:00:00","Temperature_C",23.49
2018-07-18,"03:05:00","Temperature_C",23.44
2018-07-18,"03:10:00","Temperature_C",23.39
2018-07-18,"03:15:00","Temperature_C",23.34
2018-07-18,"03:20:00","Temperature_C",23.27
2018-07-18,"03:25:00","Temperature_C",23.22
2018-07-18,"03:30:00","Temperature_C",23.23
2018-07-18,"03:35:00","Temperature_C",23.26
2018-07-18,"03:40:00","Temperature_C",23.25
2018-07-18,"03:45:00","Temperature_C",23.24
2018-07-18,"03:50:00","Temperature_C",23.24
2018-07-18,"03:55:00","Temperature_C",23.26
2018-07-18,"04:00:00","Temperature_C",23.29
2018-07-18,"04:05:00","Temperature_C",23.33
2018-07-18,"04:10:00","Temperature_C",23.43
2018-07-18,"04:15:00","Temperature_C",23.37
2018-07-18,"04:20:00","Temperature_C",23.31
2018-07-18,"04:25:00","Temperature_C",23.28
2018-07-18,"04:30:00","Temperature_C",23.33
2018-07-18,"04:35:00","Temperature_C",23.4
2018-07-18,"04:40:00","Temperature_C",23.4
2018-07-18,"04:45:00","Temperature_C",23.38
2018-07-18,"04:50:00","Temperature_C",23.4
2018-07-18,"04:55:00","Temperature_C",23.39
2018-07-18,"05:00:00","Temperature_C",23.4
2018-07-18,"05:05:00","Temperature_C",23.41
2018-07-18,"05:10:00","Temperature_C",23.41
2018-07-18,"05:15:00","Temperature_C",23.47
2018-07-18,"05:20:00","Temperature_C",23.46
2018-07-18,"05:25:00","Temperature_C",23.4
2018-07-18,"05:30:00","Temperature_C",23.46
2018-07-18,"05:35:00","Temperature_C",23.51
2018-07-18,"05:40:00","Temperature_C",23.5
2018-07-18,"05:45:00","Temperature_C",23.43
2018-07-18,"05:50:00","Temperature_C",23.41
2018-07-18,"05:55:00","Temperature_C",23.49
2018-07-18,"06:00:00","Temperature_C",23.57
2018-07-18,"06:05:00","Temperature_C",23.53
2018-07-18,"06:10:00","Temperature_C",23.48
2018-07-18,"06:15:00","Temperature_C",23.42
2018-07-18,"06:20:00","Temperature_C",23.38
2018-07-18,"06:25:00","Temperature_C",23.47
