relative_time,LinearAccelerometerSensor
0,2.029467461
40,2.837207184
98,2.358175415
156,1.411875767
213,1.745348402
270,1.721830694
328,1.645676819
386,1.961124366
442,2.237448439
501,2.267320827
557,3.103052661
615,3.443552273
672,4.251527175
730,4.986583065
787,5.064586633
846,5.15442121
902,3.838716017
959,4.128164291
1016,3.811745241
1074,3.84280235
1132,3.772490136
1188,3.726233638
1255,2.912107083
1314,4.297258506
1361,3.460742954
1418,2.764022967
1489,2.405882473
1533,2.880030005
1591,3.159710187
1647,2.965900218
1712,3.1559297
1766,3.777815844
1820,3.537226118
1877,4.144368103
1934,4.902652272
1992,3.643476426
2050,3.010521241
2107,3.092791785
2163,3.14970293
2223,2.682536754
2280,2.895178266
2346,3.13283868
2417,2.764347536
2455,3.065117943
2507,2.742512132
2565,2.192637813
2625,3.458239052
2681,3.21076627
2739,2.915509966
2795,3.494168874
2852,3.881303152
2909,2.912304059
2967,4.209800892
3024,4.374402251
3081,3.986314847
3142,2.710578565
3196,3.251855321
3254,4.148094034
3311,2.863192319
3368,3.317893621
3434,2.716087265
3484,2.727147605
3542,4.289975373
3599,3.80811846
3655,1.977850815
3713,1.648496509
3770,3.813754516
3839,3.468590673
3886,2.47497344
3943,3.554146057
4003,2.880185468
4056,3.729291832
4115,3.114557749
4171,4.263169473
4245,3.331645554
4300,2.955925315
4352,3.390985285
4408,3.182297444
4458,3.451664128
4520,3.304446814
4574,1.753950089
4630,3.450385617
4690,3.573368826
4745,1.068010402
4803,1.906687827
4860,3.608218978
4921,3.336394875
4976,2.046571898
5033,2.882153443
5094,5.309517057
5147,1.372429005
5210,4.85897011
5262,3.857164252
5319,3.995138791
5376,3.084621951
5434,2.825598247
5495,2.619024287
5548,2.95437418
5610,2.06460614
5663,2.354017225
5721,3.626618912
5778,2.893054663
5835,1.957528605
5893,2.818111163
5950,3.319571091
6008,2.528590654
6065,3.227994956
6122,2.747944844
6184,3.773155944
6237,4.246227161
6297,4.144475334
6351,3.941398265
6410,2.652911703
6466,1.815439077
6524,4.525777524
6592,3.211896693
6638,1.784505713
6697,2.096865258
6753,2.99341114
6811,2.1986454
6869,2.730193336
6927,3.133491576
6998,2.61153172
7084,2.63668891
7102,3.363368867
7155,3.966115483
7215,3.660414712
7272,5.228633453
7327,5.444766747
7393,4.796654115
7447,4.025989738
7499,3.801256203
7558,3.761913956
7614,3.510875019
7682,3.851717623
7729,2.300276333
7788,4.177796465
7843,3.06115958
7900,2.18010169
7961,3.079421337
8017,3.711091177
8075,2.604475252
8136,3.501650421
8187,3.934360645
8258,4.374593661
8302,4.469616999
8359,5.644585653
8433,5.28099231
8477,4.323464429
8531,4.205520118
8590,3.796782818
8647,3.568441957
8704,3.54390266
8766,3.153314717
8826,1.975737147
8876,3.866579073
8934,3.60660331
8991,2.360756476
9050,2.877917924
9108,3.564902048
9186,3.06285389
9241,3.931327826
9277,3.485182049
9344,4.167810868
9392,4.57163505
9465,5.257725799
9507,5.258184683
9565,3.858196125
9644,3.588208512
9692,3.10066483
9747,3.402943678
9794,3.210350261
9860,2.82702025
9910,2.913604782
9967,3.637801356
10023,3.157930437
10081,3.328700343
10138,3.422238683
10197,4.058376626
10255,4.14249755
10311,4.061652932
10368,5.02876609
10430,5.15902857
10483,4.932178575
10543,6.550110957
10598,5.765627316
10654,4.266070556
10712,4.708015409
10781,4.980797515
10832,5.682062925
10884,5.72391631
10949,4.029987936
11004,4.449756727
11057,3.939801104
11115,5.330215715
11172,4.151380397
11238,3.023365582
11287,2.757194558
11366,2.80137996
11407,5.180231356
11458,2.653117768
11517,3.945998814
11572,2.022057965
11633,0.947889677
11688,1.831477035
11745,1.744552239
11809,1.19801061
11858,1.821380302
11917,1.819561062
11981,2.23007931
12045,3.04439753
12089,2.821284415
12146,2.178830652
12214,2.112610095
12260,3.19752959
12322,4.277250329
12388,2.872992769
12438,4.717381361
12501,3.890096973
12547,4.418951247
12605,4.209112618
12663,1.879670493
12735,0.814206129
12777,0.67375709
12834,2.279321352
12902,2.424103727
12949,3.438417902
13016,2.612475717
13064,1.641845758
13121,1.404205956
13188,1.306799772
13236,2.133448244
13306,2.893745511
13350,2.990571784
13408,3.334630491
13466,3.482294668
13523,3.524036162
13584,3.465804628
13639,3.397931221
13702,2.462813083
13752,0.781304358
13810,0.709972061
13874,0.927756572
13924,1.420498444
13999,1.638359613
14043,1.56846016
14118,2.035819914
14169,0.691716852
14215,1.737647603
14285,2.428703477
14329,3.723655991
14391,2.91845699
14442,2.287341828
14499,3.69871329
14570,3.712533836
14614,3.622835895
14681,3.401338168
14728,1.546424106
14799,0.819981645
14842,1.112257959
14900,1.899905167
14959,2.103934612
15015,2.012317161
15079,1.68707277
15129,1.3585438
15193,1.627794357
15246,1.377373727
15301,1.358590656
15367,1.954748593
15416,2.686815041
15479,2.451793139
15531,3.296731521
15588,2.905594126
15647,3.871525222
15703,2.28142432
15767,0.983488865
15817,1.246675744
15896,2.319884187
15934,2.448538897
15989,1.510120503
16048,1.145183755
16108,1.166600935
16164,1.611242821
16225,0.766011938
16276,1.66130597
16350,2.375851127
16391,3.080980709
16450,2.714205484
16506,3.027782384
16563,3.52604359
16636,3.304471778
16687,3.547946046
16736,2.275353113
16793,1.661332089
16850,1.926935063
16908,1.62170972
16965,1.438151585
17027,1.502728603
17079,3.993771472
17139,1.396976966
17204,1.263927216
17260,0.904366147
17309,1.14905324
17367,3.266874667
17425,2.878518978
17481,4.42497506
17539,3.192641357
17596,2.952133739
17669,3.263142495
17733,4.965380984
17768,3.489050085
17826,1.162742481
17884,1.675714025
17954,1.726006328
17999,1.163714466
18056,0.904818028
18128,1.637566176
18184,1.684250564
18232,1.311276456
18291,0.592644692
18344,2.068897267
18399,2.502004106
18457,2.395741093
18514,2.932805307
18571,3.702236665
18633,3.034093094
18689,3.25040536
18764,1.468893977
18812,0.714860676
18862,1.090447044
18932,2.542733505
18973,1.019724393
19030,1.368920846
19088,1.778721135
19161,2.702147732
19207,1.698473396
19260,2.050861699
19335,2.658515413
19375,2.974124581
19434,3.252856393
19489,3.345954952
19548,3.18690934
19604,3.561391825
19664,3.319163691
19728,0.943447385
