"Date","Time","Variable","Value"
2020-01-03,"00:00:00","Glucose",106
2020-01-03,"00:05:00","Glucose",108
2020-01-03,"00:10:00","Glucose",109
2020-01-03,"00:15:00","Glucose",109
2020-01-03,"00:20:00","Glucose",111
2020-01-03,"00:25:00","Glucose",111
2020-01-03,"00:30:00","Glucose",111
2020-01-03,"00:35:00","Glucose",107
2020-01-03,"00:40:00","Glucose",103
2020-01-03,"00:45:00","Glucose",100
2020-01-03,"00:50:00","Glucose",101
2020-01-03,"00:55:00","Glucose",109
2020-01-03,"01:00:00","Glucose",110
2020-01-03,"01:05:00","Glucose",110
2020-01-03,"01:10:00","Glucose",107
2020-01-03,"01:15:00","Glucose",105
2020-01-03,"01:20:00","Glucose",102
2020-01-03,"01:25:00","Glucose",98
2020-01-03,"01:30:00","Glucose",96
2020-01-03,"01:35:00","Glucose",90
2020-01-03,"01:40:00","Glucose",81
2020-01-03,"01:45:00","Glucose",77
2020-01-03,"01:50:00","Glucose",79
2020-01-03,"01:55:00","Glucose",83
2020-01-03,"02:00:00","Glucose",84
2020-01-03,"02:05:00","Glucose",88
2020-01-03,"02:10:00","Glucose",90
2020-01-03,"02:15:00","Glucose",94
2020-01-03,"02:20:00","Glucose",95
2020-01-03,"02:25:00","Glucose",94
2020-01-03,"02:30:00","Glucose",98
2020-01-03,"02:35:00","Glucose",106
2020-01-03,"02:40:00","Glucose",110
2020-01-03,"02:45:00","Glucose",109
2020-01-03,"02:50:00","Glucose",107
2020-01-03,"02:55:00","Glucose",112
2020-01-03,"03:00:00","Glucose",118
2020-01-03,"03:05:00","Glucose",121
2020-01-03,"03:10:00","Glucose",118
2020-01-03,"03:15:00","Glucose",113
2020-01-03,"03:20:00","Glucose",114
2020-01-03,"03:25:00","Glucose",116
2020-01-03,"03:30:00","Glucose",117
2020-01-03,"03:35:00","Glucose",114
2020-01-03,"03:40:00","Glucose",110
2020-01-03,"03:45:00","Glucose",105
2020-01-03,"03:50:00","Glucose",105
2020-01-03,"03:55:00","Glucose",102
2020-01-03,"04:00:00","Glucose",99
2020-01-03,"04:05:00","Glucose",94
2020-01-03,"04:10:00","Glucose",90
2020-01-03,"04:15:00","Glucose",87
2020-01-03,"04:20:00","Glucose",92
2020-01-03,"04:25:00","Glucose",88
2020-01-03,"04:30:00","Glucose",85
2020-01-03,"04:35:00","Glucose",79
2020-01-03,"04:40:00","Glucose",78
2020-01-03,"04:45:00","Glucose",75
2020-01-03,"04:50:00","Glucose",72
2020-01-03,"04:55:00","Glucose",69
2020-01-03,"05:00:00","Glucose",66
2020-01-03,"05:05:00","Glucose",57
2020-01-03,"05:10:00","Glucose",54
2020-01-03,"05:15:00","Glucose",49
2020-01-03,"05:20:00","Glucose",53
2020-01-03,"05:25:00","Glucose",54
2020-01-03,"05:30:00","Glucose",56
2020-01-03,"05:35:00","Glucose",58
2020-01-03,"05:40:00","Glucose",56
2020-01-03,"05:45:00","Glucose",58
2020-01-03,"05:50:00","Glucose",59
2020-01-03,"05:55:00","Glucose",57
2020-01-03,"06:00:00","Glucose",57
2020-01-03,"06:05:00","Glucose",60
2020-01-03,"06:10:00","Glucose",61
2020-01-03,"06:15:00","Glucose",65
2020-01-03,"06:20:00","Glucose",61
2020-01-03,"06:25:00","Glucose",61
2020-01-03,"06:30:00","Glucose",60
2020-01-03,"06:35:00","Glucose",64
2020-01-03,"06:40:00","Glucose",69
2020-01-03,"06:45:00","Glucose",72
2020-01-03,"06:50:00","Glucose",76
2020-01-03,"06:55:00","Glucose",84
2020-01-03,"07:00:00","Glucose",86
2020-01-03,"07:05:00","Glucose",87
2020-01-03,"07:10:00","Glucose",89
2020-01-03,"07:15:00","Glucose",91
2020-01-03,"07:20:00","Glucose",91
2020-01-03,"07:25:00","Glucose",89
2020-01-03,"07:30:00","Glucose",88
2020-01-03,"07:35:00","Glucose",86
2020-01-03,"07:40:00","Glucose",85
2020-01-03,"07:45:00","Glucose",88
2020-01-03,"07:50:00","Glucose",86
2020-01-03,"07:55:00","Glucose",84
2020-01-03,"08:00:00","Glucose",84
2020-01-03,"08:05:00","Glucose",83
2020-01-03,"08:10:00","Glucose",80
2020-01-03,"08:15:00","Glucose",77
2020-01-03,"08:20:00","Glucose",77
2020-01-03,"08:25:00","Glucose",75
2020-01-03,"08:30:00","Glucose",72
2020-01-03,"08:35:00","Glucose",71
2020-01-03,"08:40:00","Glucose",68
2020-01-03,"08:45:00","Glucose",69
2020-01-03,"08:50:00","Glucose",66
2020-01-03,"08:55:00","Glucose",66
2020-01-03,"09:00:00","Glucose",68
2020-01-03,"09:05:00","Glucose",69
2020-01-03,"09:10:00","Glucose",65
2020-01-03,"09:15:00","Glucose",63
2020-01-03,"09:20:00","Glucose",63
2020-01-03,"09:25:00","Glucose",72
2020-01-03,"09:30:00","Glucose",74
2020-01-03,"09:35:00","Glucose",72
2020-01-03,"09:40:00","Glucose",72
2020-01-03,"09:45:00","Glucose",74
2020-01-03,"09:50:00","Glucose",76
2020-01-03,"09:55:00","Glucose",80
2020-01-03,"10:00:00","Glucose",84
2020-01-03,"10:05:00","Glucose",86
2020-01-03,"10:10:00","Glucose",85
2020-01-03,"10:15:00","Glucose",84
2020-01-03,"10:20:00","Glucose",83
2020-01-03,"10:25:00","Glucose",85
2020-01-03,"10:30:00","Glucose",84
2020-01-03,"10:35:00","Glucose",84
2020-01-03,"10:40:00","Glucose",84
2020-01-03,"10:45:00","Glucose",82
2020-01-03,"10:50:00","Glucose",83
2020-01-03,"10:55:00","Glucose",79
2020-01-03,"11:00:00","Glucose",78
2020-01-03,"11:05:00","Glucose",84
2020-01-03,"11:10:00","Glucose",88
2020-01-03,"11:15:00","Glucose",88
2020-01-03,"11:20:00","Glucose",83
2020-01-03,"11:25:00","Glucose",77
2020-01-03,"11:30:00","Glucose",81
2020-01-03,"11:35:00","Glucose",84
2020-01-03,"11:40:00","Glucose",87
2020-01-03,"11:45:00","Glucose",91
2020-01-03,"11:50:00","Glucose",92
2020-01-03,"11:55:00","Glucose",93
2020-01-03,"12:00:00","Glucose",101
2020-01-03,"12:05:00","Glucose",108
2020-01-03,"12:10:00","Glucose",108
2020-01-03,"12:15:00","Glucose",105
2020-01-03,"12:20:00","Glucose",98
2020-01-03,"12:25:00","Glucose",96
2020-01-03,"12:30:00","Glucose",96
2020-01-03,"12:35:00","Glucose",92
2020-01-03,"12:40:00","Glucose",88
2020-01-03,"12:45:00","Glucose",91
2020-01-03,"12:50:00","Glucose",91
2020-01-03,"12:55:00","Glucose",92
2020-01-03,"13:00:00","Glucose",92
2020-01-03,"13:05:00","Glucose",90
2020-01-03,"13:10:00","Glucose",87
2020-01-03,"13:15:00","Glucose",77
2020-01-03,"13:20:00","Glucose",78
2020-01-03,"13:25:00","Glucose",78
2020-01-03,"13:30:00","Glucose",72
2020-01-03,"13:35:00","Glucose",77
2020-01-03,"13:40:00","Glucose",83
2020-01-03,"13:45:00","Glucose",86
2020-01-03,"13:50:00","Glucose",89
2020-01-03,"13:55:00","Glucose",90
2020-01-03,"14:00:00","Glucose",94
2020-01-03,"14:05:00","Glucose",97
2020-01-03,"14:10:00","Glucose",95
2020-01-03,"14:15:00","Glucose",95
2020-01-03,"14:20:00","Glucose",98
2020-01-03,"14:25:00","Glucose",100
2020-01-03,"14:30:00","Glucose",101
2020-01-03,"14:35:00","Glucose",102
2020-01-03,"14:40:00","Glucose",106
2020-01-03,"14:45:00","Glucose",108
2020-01-03,"14:50:00","Glucose",107
2020-01-03,"14:55:00","Glucose",108
2020-01-03,"15:00:00","Glucose",110
2020-01-03,"15:05:00","Glucose",109
2020-01-03,"15:10:00","Glucose",108
2020-01-03,"15:15:00","Glucose",110
2020-01-03,"15:20:00","Glucose",110
2020-01-03,"15:25:00","Glucose",110
2020-01-03,"15:30:00","Glucose",109
2020-01-03,"15:35:00","Glucose",107
2020-01-03,"15:40:00","Glucose",103
2020-01-03,"15:45:00","Glucose",98
2020-01-03,"15:50:00","Glucose",95
2020-01-03,"15:55:00","Glucose",94
2020-01-03,"16:00:00","Glucose",93
2020-01-03,"16:05:00","Glucose",85
