"","mNeighborhood","YearMonth","Gun","Any.Weapon","Num.Crimes"
"1","Amity",200001,"0",0,145
"2","Annex",200001,"0",0,98
"3","Beaver Hills",200001,"0",0,131
"4","Dixwell",200001,"0",0,130
"5","Downtown",200001,"0",0,272
"6","Dwight",200001,"0",0,140
"7","East Rock",200001,"0",0,111
"8","East Shore",200001,"0",0,31
"9","Edgewood",200001,"0",0,131
"10","Fair Haven",200001,"0",0,384
"11","Fair Haven Heights",200001,"0",0,82
"12","Hill",200001,"0",0,432
"13","Long Wharf",200001,"0",0,104
"14","Newhallville",200001,"0",0,134
"15","Prospect Hill",200001,"0",0,66
"16","Quinnipiac",200001,"0",0,123
"17","West River",200001,"0",0,116
"18","West Rock",200001,"0",0,139
"19","Westville",200001,"0",0,43
"20","Wooster Square/Mill River",200001,"0",0,122
"21","Amity",200002,"0",0,133
"22","Annex",200002,"0",0,102
"23","Beaver Hills",200002,"0",0,104
"24","Dixwell",200002,"0",0,124
"25","Downtown",200002,"0",0,239
"26","Dwight",200002,"0",0,135
"27","East Rock",200002,"0",0,105
"28","East Shore",200002,"0",0,23
"29","Edgewood",200002,"0",0,120
"30","Fair Haven",200002,"0",0,352
"31","Fair Haven Heights",200002,"0",0,80
"32","Hill",200002,"0",0,417
"33","Long Wharf",200002,"0",0,88
"34","Newhallville",200002,"0",0,147
"35","Prospect Hill",200002,"0",0,68
"36","Quinnipiac",200002,"0",0,112
"37","West River",200002,"0",0,128
"38","West Rock",200002,"0",0,142
"39","Westville",200002,"0",0,48
"40","Wooster Square/Mill River",200002,"0",0,107
"41","Amity",200003,"0",0,145
"42","Annex",200003,"0",0,94
"43","Beaver Hills",200003,"0",0,144
"44","Dixwell",200003,"0",0,142
"45","Downtown",200003,"0",0,271
"46","Dwight",200003,"0",0,139
"47","East Rock",200003,"0",0,158
"48","East Shore",200003,"0",0,51
"49","Edgewood",200003,"0",0,121
"50","Fair Haven",200003,"0",0,463
"51","Fair Haven Heights",200003,"0",0,91
"52","Hill",200003,"0",0,518
"53","Long Wharf",200003,"0",0,125
"54","Newhallville",200003,"0",0,192
"55","Prospect Hill",200003,"0",0,88
"56","Quinnipiac",200003,"0",0,135
"57","West River",200003,"0",0,140
"58","West Rock",200003,"0",0,165
"59","Westville",200003,"0",0,52
"60","Wooster Square/Mill River",200003,"0",0,111
"61","Amity",200004,"0",0,135
"62","Annex",200004,"0",0,101
"63","Beaver Hills",200004,"0",0,123
"64","Dixwell",200004,"0",0,137
"65","Downtown",200004,"0",0,289
"66","Dwight",200004,"0",0,137
"67","East Rock",200004,"0",0,116
"68","East Shore",200004,"0",0,42
"69","Edgewood",200004,"0",0,116
"70","Fair Haven",200004,"0",0,360
"71","Fair Haven Heights",200004,"0",0,64
"72","Hill",200004,"0",0,492
"73","Long Wharf",200004,"0",0,101
"74","Newhallville",200004,"0",0,177
"75","Prospect Hill",200004,"0",0,76
"76","Quinnipiac",200004,"0",0,115
"77","West River",200004,"0",0,116
"78","West Rock",200004,"0",0,159
"79","Westville",200004,"0",0,48
"80","Wooster Square/Mill River",200004,"0",0,118
"81","Amity",200005,"0",0,145
"82","Annex",200005,"0",0,102
"83","Beaver Hills",200005,"0",0,143
"84","Dixwell",200005,"0",0,149
"85","Downtown",200005,"0",0,266
"86","Dwight",200005,"0",0,154
"87","East Rock",200005,"0",0,126
"88","East Shore",200005,"0",0,28
"89","Edgewood",200005,"0",0,135
"90","Fair Haven",200005,"0",0,411
"91","Fair Haven Heights",200005,"0",0,107
"92","Hill",200005,"0",0,440
"93","Long Wharf",200005,"0",0,79
"94","Newhallville",200005,"0",0,200
"95","Prospect Hill",200005,"0",0,81
"96","Quinnipiac",200005,"0",0,106
"97","West River",200005,"0",0,117
"98","West Rock",200005,"0",0,141
"99","Westville",200005,"0",0,62
"100","Wooster Square/Mill River",200005,"0",0,136
"101","Amity",200006,"0",0,123
"102","Annex",200006,"0",0,113
"103","Beaver Hills",200006,"0",0,131
"104","Dixwell",200006,"0",0,131
"105","Downtown",200006,"0",0,261
"106","Dwight",200006,"0",0,165
"107","East Rock",200006,"0",0,112
"108","East Shore",200006,"0",0,39
"109","Edgewood",200006,"0",0,121
"110","Fair Haven",200006,"0",0,384
"111","Fair Haven Heights",200006,"0",0,76
